x,y,validity,timestamp_us,image_x,image_y,participant_id,gender,age,task
1007.224487,675.5701294,Valid,6.21E+11,447.2244873,660.5701294,1,Female,24,Locate the Vase
1005.560547,681.9933472,Valid,6.21E+11,445.5605469,666.9933472,1,Female,24,Locate the Vase
1005.701172,687.7766113,Valid,6.21E+11,445.7011719,672.7766113,1,Female,24,Locate the Vase
1003.716431,691.1703491,Valid,6.21E+11,443.7164307,676.1703491,1,Female,24,Locate the Vase
1002.136353,691.8449097,Valid,6.21E+11,442.1363525,676.8449097,1,Female,24,Locate the Vase
982.8161011,695.1084595,Valid,6.21E+11,422.8161011,680.1084595,1,Female,24,Locate the Vase
963.880127,699.656311,Valid,6.21E+11,403.880127,684.656311,1,Female,24,Locate the Vase
947.3370972,705.6478271,Valid,6.21E+11,387.3370972,690.6478271,1,Female,24,Locate the Vase
936.8421631,708.5799561,Valid,6.21E+11,376.8421631,693.5799561,1,Female,24,Locate the Vase
925.6005859,708.1253662,Valid,6.21E+11,365.6005859,693.1253662,1,Female,24,Locate the Vase
918.6164551,707.4790039,Valid,6.21E+11,358.6164551,692.4790039,1,Female,24,Locate the Vase
913.2775879,707.0088501,Valid,6.21E+11,353.2775879,692.0088501,1,Female,24,Locate the Vase
909.8358765,705.8264771,Valid,6.21E+11,349.8358765,690.8264771,1,Female,24,Locate the Vase
907.8740234,704.9186401,Valid,6.21E+11,347.8740234,689.9186401,1,Female,24,Locate the Vase
905.2546387,704.8103027,Valid,6.21E+11,345.2546387,689.8103027,1,Female,24,Locate the Vase
895.4482422,702.843811,Valid,6.21E+11,335.4482422,687.843811,1,Female,24,Locate the Vase
885.9005127,700.0366821,Valid,6.21E+11,325.9005127,685.0366821,1,Female,24,Locate the Vase
878.6220093,696.6129761,Valid,6.21E+11,318.6220093,681.6129761,1,Female,24,Locate the Vase
873.953125,694.1152954,Valid,6.21E+11,313.953125,679.1152954,1,Female,24,Locate the Vase
868.1274414,691.5805664,Valid,6.21E+11,308.1274414,676.5805664,1,Female,24,Locate the Vase
862.3375244,689.9116211,Valid,6.21E+11,302.3375244,674.9116211,1,Female,24,Locate the Vase
858.7004395,688.9317627,Valid,6.21E+11,298.7004395,673.9317627,1,Female,24,Locate the Vase
856.7125244,687.8994141,Valid,6.21E+11,296.7125244,672.8994141,1,Female,24,Locate the Vase
855.4274292,686.9014282,Valid,6.21E+11,295.4274292,671.9014282,1,Female,24,Locate the Vase
854.3185425,685.093811,Valid,6.21E+11,294.3185425,670.093811,1,Female,24,Locate the Vase
868.6875,680.4071045,Valid,6.21E+11,308.6875,665.4071045,1,Female,24,Locate the Vase
888.8522949,675.1488037,Valid,6.21E+11,328.8522949,660.1488037,1,Female,24,Locate the Vase
909.9533691,670.7460938,Valid,6.21E+11,349.9533691,655.7460938,1,Female,24,Locate the Vase
931.3306885,668.3710938,Valid,6.21E+11,371.3306885,653.3710938,1,Female,24,Locate the Vase
950.242981,668.4502563,Valid,6.21E+11,390.242981,653.4502563,1,Female,24,Locate the Vase
963.3691406,671.3483887,Valid,6.21E+11,403.3691406,656.3483887,1,Female,24,Locate the Vase
974.1776123,673.7006226,Valid,6.21E+11,414.1776123,658.7006226,1,Female,24,Locate the Vase
980.1602783,675.9636841,Valid,6.21E+11,420.1602783,660.9636841,1,Female,24,Locate the Vase
986.2458496,676.2125244,Valid,6.21E+11,426.2458496,661.2125244,1,Female,24,Locate the Vase
991.5039673,673.4343262,Valid,6.21E+11,431.5039673,658.4343262,1,Female,24,Locate the Vase
994.9335327,670.8049316,Valid,6.21E+11,434.9335327,655.8049316,1,Female,24,Locate the Vase
998.6842041,668.4337158,Valid,6.21E+11,438.6842041,653.4337158,1,Female,24,Locate the Vase
1001.665649,667.8586426,Valid,6.21E+11,441.6656494,652.8586426,1,Female,24,Locate the Vase
1003.630737,667.269165,Valid,6.21E+11,443.6307373,652.269165,1,Female,24,Locate the Vase
1005.435791,667.2348633,Valid,6.21E+11,445.435791,652.2348633,1,Female,24,Locate the Vase
1005.828308,668.0498047,Valid,6.21E+11,445.8283081,653.0498047,1,Female,24,Locate the Vase
1006.246704,668.6182861,Valid,6.21E+11,446.2467041,653.6182861,1,Female,24,Locate the Vase
1005.253723,593.1738892,Valid,6.21E+11,445.2537231,578.1738892,1,Female,24,Locate the Vase
1012.066711,469.7522888,Valid,6.21E+11,452.0667114,454.7522888,1,Female,24,Locate the Vase
1014.116699,385.9055481,Valid,6.21E+11,454.1166992,370.9055481,1,Female,24,Locate the Vase
1010.013306,339.1617126,Valid,6.21E+11,450.0133057,324.1617126,1,Female,24,Locate the Vase
1009.575806,320.7393188,Valid,6.21E+11,449.5758057,305.7393188,1,Female,24,Locate the Vase
1003.279724,311.0787048,Valid,6.21E+11,443.2797241,296.0787048,1,Female,24,Locate the Vase
995.5960693,303.707428,Valid,6.21E+11,435.5960693,288.707428,1,Female,24,Locate the Vase
997.8319092,296.5440979,Valid,6.21E+11,437.8319092,281.5440979,1,Female,24,Locate the Vase
996.4466553,296.9061584,Valid,6.21E+11,436.4466553,281.9061584,1,Female,24,Locate the Vase
999.8505859,294.9482117,Valid,6.21E+11,439.8505859,279.9482117,1,Female,24,Locate the Vase
1031.61377,270.0620117,Valid,6.21E+11,471.6137695,255.0620117,1,Female,24,Locate the Vase
1058.829956,247.1674805,Valid,6.21E+11,498.8299561,232.1674805,1,Female,24,Locate the Vase
1082.040039,230.8775177,Valid,6.21E+11,522.0400391,215.8775177,1,Female,24,Locate the Vase
1095.471924,218.2929382,Valid,6.21E+11,535.4719238,203.2929382,1,Female,24,Locate the Vase
1106.015137,210.1783447,Valid,6.21E+11,546.0151367,195.1783447,1,Female,24,Locate the Vase
1111.914551,205.3181152,Valid,6.21E+11,551.9145508,190.3181152,1,Female,24,Locate the Vase
1114.250366,201.2054596,Valid,6.21E+11,554.2503662,186.2054596,1,Female,24,Locate the Vase
1118.404175,198.016861,Valid,6.21E+11,558.4041748,183.016861,1,Female,24,Locate the Vase
1155.900391,196.2447968,Valid,6.21E+11,595.9003906,181.2447968,1,Female,24,Locate the Vase
1198.351929,256.1704407,Valid,6.21E+11,638.3519287,241.1704407,1,Female,24,Locate the Vase
1107.413818,253.2907562,Valid,6.21E+11,547.4138184,238.2907562,1,Female,24,Locate the Vase
1063.126221,246.1243286,Valid,6.21E+11,503.1262207,231.1243286,1,Female,24,Locate the Vase
1040.181152,244.8121338,Valid,6.21E+11,480.1811523,229.8121338,1,Female,24,Locate the Vase
1027.447632,244.9593506,Valid,6.21E+11,467.4476318,229.9593506,1,Female,24,Locate the Vase
1019.31781,241.9140015,Valid,6.21E+11,459.3178101,226.9140015,1,Female,24,Locate the Vase
1005.396057,272.3086243,Valid,6.21E+11,445.3960571,257.3086243,1,Female,24,Locate the Vase
969.0231934,344.5949402,Valid,6.21E+11,409.0231934,329.5949402,1,Female,24,Locate the Vase
939.6382446,418.7772827,Valid,6.21E+11,379.6382446,403.7772827,1,Female,24,Locate the Vase
928.8311157,462.8424377,Valid,6.21E+11,368.8311157,447.8424377,1,Female,24,Locate the Vase
923.1971436,489.072052,Valid,6.21E+11,363.1971436,474.072052,1,Female,24,Locate the Vase
924.1601563,502.1538086,Valid,6.21E+11,364.1601563,487.1538086,1,Female,24,Locate the Vase
922.3397217,503.1277466,Valid,6.21E+11,362.3397217,488.1277466,1,Female,24,Locate the Vase
921.956543,503.9174805,Valid,6.21E+11,361.956543,488.9174805,1,Female,24,Locate the Vase
920.1410522,501.7734985,Valid,6.21E+11,360.1410522,486.7734985,1,Female,24,Locate the Vase
920.3972778,501.541748,Valid,6.21E+11,360.3972778,486.541748,1,Female,24,Locate the Vase
919.7492065,501.5336609,Valid,6.21E+11,359.7492065,486.5336609,1,Female,24,Locate the Vase
918.5214844,501.4111328,Valid,6.21E+11,358.5214844,486.4111328,1,Female,24,Locate the Vase
917.8760986,500.5570374,Valid,6.21E+11,357.8760986,485.5570374,1,Female,24,Locate the Vase
917.6560059,511.5229797,Valid,6.21E+11,357.6560059,496.5229797,1,Female,24,Locate the Vase
922.2299805,761.3495483,Valid,6.21E+11,362.2299805,746.3495483,1,Female,24,Locate the Vase
925.9255371,995.9537964,Valid,6.21E+11,365.9255371,980.9537964,1,Female,24,Locate the Vase
932.4384155,926.2684326,Valid,6.21E+11,372.4384155,911.2684326,1,Female,24,Locate the Faces
943.3713989,796.3352661,Valid,6.21E+11,383.3713989,781.3352661,1,Female,24,Locate the Faces
